rank,movie_name,release_year,audience_rating,gross_earnings,director(s)
1,Avatar,2009,PG-13,2923706026,James Cameron
2,Avengers: Endgame,2019,PG-13,2799439100,"Anthony Russo, Joe Russo"
3,Avatar: The Way of Water,2022,PG-13,2320250281,James Cameron
4,Titanic,1997,PG-13,2264750694,James Cameron
5,Star Wars: Episode VII - The Force Awakens,2015,PG-13,2071310218,J.J. Abrams
6,Avengers: Infinity War,2018,PG-13,2052415039,"Anthony Russo, Joe Russo"
7,Spider-Man: No Way Home,2021,PG-13,1921373347,Jon Watts
8,Inside Out 2,2024,PG,1693216995,Kelsey Mann
9,Jurassic World,2015,PG-13,1671537444,Colin Trevorrow
10,The Lion King,2019,PG,1662020819,Jon Favreau
11,The Avengers,2012,PG-13,1520538536,Joss Whedon
12,Furious 7,2015,PG-13,1515342457,James Wan
13,Top Gun: Maverick,2022,PG-13,1495696292,Joseph Kosinski
14,Frozen II,2019,PG,1453683476,"Chris Buck, Jennifer Lee"
15,Barbie,2023,PG-13,1446938421,Greta Gerwig
16,Avengers: Age of Ultron,2015,PG-13,1405018048,Joss Whedon
17,The Super Mario Bros. Movie,2023,PG,1362566989,"Aaron Horvath, Michael Jelenic, Pierre Leduc"
18,Black Panther,2018,PG-13,1349926083,Ryan Coogler
19,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,1342480797,David Yates
20,Star Wars: Episode VIII - The Last Jedi,2017,PG-13,1334407706,Rian Johnson
21,Deadpool & Wolverine,2024,R,1332494933,Shawn Levy
22,Jurassic World: Fallen Kingdom,2018,PG-13,1310469037,J.A. Bayona
23,Frozen,2013,PG,1306450154,"Chris Buck, Jennifer Lee"
24,Beauty and the Beast,2017,PG,1266115964,Bill Condon
25,Incredibles 2,2018,PG,1243225667,Brad Bird
26,The Fate of the Furious,2017,PG-13,1236009236,F. Gary Gray
27,Iron Man 3,2013,PG-13,1215577205,Shane Black
28,Minions,2015,PG,1159457503,"Kyle Balda, Pierre Coffin"
29,Captain America: Civil War,2016,PG-13,1155046416,"Anthony Russo, Joe Russo"
30,Aquaman,2018,PG-13,1152028393,James Wan
31,The Lord of the Rings: The Return of the King,2003,PG-13,1138027091,Peter Jackson
32,Spider-Man: Far from Home,2019,PG-13,1132705055,Jon Watts
33,Captain Marvel,2019,PG-13,1131416446,"Anna Boden, Ryan Fleck"
34,Transformers: Dark of the Moon,2011,PG-13,1123794079,Michael Bay
35,The Dark Knight Rises,2012,PG-13,1114975066,Christopher Nolan
36,Skyfall,2012,PG-13,1108594137,Sam Mendes
37,Transformers: Age of Extinction,2014,PG-13,1105261713,Michael Bay
38,Jurassic Park,1993,PG-13,1104379926,Steven Spielberg
39,Joker,2019,R,1078958629,Todd Phillips
40,Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,1077022372,J.J. Abrams
41,Toy Story 4,2019,G,1073841394,Josh Cooley
42,Toy Story 3,2010,G,1067316101,Lee Unkrich
43,Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,1066179747,Gore Verbinski
44,Rogue One: A Star Wars Story,2016,PG-13,1058684742,Gareth Edwards
45,Aladdin,2019,PG,1054304000,Guy Ritchie
46,Pirates of the Caribbean: On Stranger Tides,2011,PG-13,1046721266,Rob Marshall
47,Star Wars: Episode I - The Phantom Menace,1999,PG,1046515409,George Lucas
48,Despicable Me 3,2017,PG,1034800131,"Kyle Balda, Pierre Coffin, Eric Guillon"
49,Finding Dory,2016,PG,1029266989,"Andrew Stanton, Angus MacLane"
50,Zootopia,2016,PG,1025521689,"Byron Howard, Rich Moore, Jared Bush"
51,Alice in Wonderland,2010,PG,1025468216,Tim Burton
52,Harry Potter and the Sorcerer's Stone,2001,PG,1024583854,Chris Columbus
53,The Hobbit: An Unexpected Journey,2012,PG-13,1017107150,Peter Jackson
54,The Dark Knight,2008,PG-13,1009025676,Christopher Nolan
55,Jurassic World Dominion,2022,PG-13,1001978080,Colin Trevorrow
56,The Lion King,1994,G,981708285,"Roger Allers, Rob Minkoff"
57,Oppenheimer,2023,R,975584123,Christopher Nolan
58,Despicable Me 2,2013,PG,970766005,"Pierre Coffin, Chris Renaud"
59,The Jungle Book,2016,PG,967724775,Jon Favreau
60,Jumanji: Welcome to the Jungle,2017,PG-13,962544585,Jake Kasdan
61,The Hobbit: The Battle of the Five Armies,2014,R,962253946,Peter Jackson
62,Pirates of the Caribbean: At World's End,2007,PG-13,961691209,Gore Verbinski
63,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,960897696,David Yates
64,The Hobbit: The Desolation of Smaug,2013,PG-13,959079095,Peter Jackson
65,Despicable Me 4,2024,PG,958295529,"Chris Renaud, Patrick Delage"
66,Doctor Strange in the Multiverse of Madness,2022,PG-13,955775804,Sam Raimi
67,Harry Potter and the Order of the Phoenix,2007,PG-13,942860217,David Yates
68,Finding Nemo,2003,G,941637960,"Andrew Stanton, Lee Unkrich"
69,Harry Potter and the Half-Blood Prince,2009,PG,941055851,David Yates
70,Minions: The Rise of Gru,2022,PG,940203765,"Kyle Balda, Brad Ableson, Jonathan del Val"
71,The Lord of the Rings: The Two Towers,2002,PG-13,938210343,Peter Jackson
72,Shrek 2,2004,PG,932397526,"Andrew Adamson, Kelly Asbury, Conrad Vernon"
73,Bohemian Rhapsody,2018,PG-13,910813521,Bryan Singer
74,The Battle at Lake Changjin,2021,Not Rated,902548476,"Kaige Chen, Dante Lam, Hark Tsui"
75,Harry Potter and the Goblet of Fire,2005,PG-13,897468952,Mike Newell
76,Spider-Man 3,2007,PG-13,891648685,Sam Raimi
77,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,888120042,Peter Jackson
78,Ice Age: Dawn of the Dinosaurs,2009,PG,886686817,"Carlos Saldanha, Michael Thurmeier"
79,Harry Potter and the Chamber of Secrets,2002,PG,882545819,Chris Columbus
80,Spider-Man: Homecoming,2017,PG-13,880944210,Jon Watts
81,Spectre,2015,PG-13,880707597,Sam Mendes
82,Ice Age: Continental Drift,2012,PG,877244782,"Steve Martino, Michael Thurmeier"
83,The Secret Life of Pets,2016,PG,875698161,Chris Renaud
84,Batman v Superman: Dawn of Justice,2016,R,874362803,Zack Snyder
85,Wolf Warrior 2,2017,Not Rated,870325439,Jing Wu
86,The Hunger Games: Catching Fire,2013,PG-13,865011746,Francis Lawrence
87,Guardians of the Galaxy Vol. 2,2017,PG-13,863756903,James Gunn
88,Black Panther: Wakanda Forever,2022,PG-13,859208836,Ryan Coogler
89,Inside Out,2015,PG,859076254,"Pete Docter, Ronnie Del Carmen"
90,Venom,2018,PG-13,856085161,Ruben Fleischer
91,Thor: Ragnarok,2017,PG-13,855301806,Taika Waititi
92,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,850035635,George Lucas
93,The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,848593948,Bill Condon
94,Guardians of the Galaxy Vol. 3,2023,PG-13,845555777,James Gunn
95,Inception,2010,PG-13,839030630,Christopher Nolan
96,Transformers: Revenge of the Fallen,2009,PG-13,836303693,Michael Bay
97,Spider-Man,2002,PG-13,825802095,Sam Raimi
98,Wonder Woman,2017,PG-13,823970682,Patty Jenkins
99,"Hi, Mom",2021,Not Rated,822009764,Ling Jia
100,Independence Day,1996,PG-13,817400891,Roland Emmerich
101,Fantastic Beasts and Where to Find Them,2016,PG-13,816037575,David Yates
102,Coco,2017,PG,814641172,"Lee Unkrich, Adrian Molina"
103,Shrek the Third,2007,PG,813367380,"Chris Miller, Raman Hui"
104,Harry Potter and the Prisoner of Azkaban,2004,PG,808485294,Alfonso Cuarón
105,Jumanji: The Next Level,2019,PG-13,801693929,Jake Kasdan
106,E.T. the Extra-Terrestrial,1982,PG,797307407,Steven Spielberg
107,Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,795922298,"Joachim Rønning, Espen Sandberg"
108,Mission: Impossible - Fallout,2018,PG-13,791658205,Christopher McQuarrie
109,2012,2009,PG-13,791217826,Roland Emmerich
110,Fast & Furious 6,2013,PG-13,788683342,Justin Lin
111,Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,786636033,Steven Spielberg
112,Deadpool 2,2018,R,785896632,David Leitch
113,Spider-Man 2,2004,PG-13,784543400,Sam Raimi
114,Deadpool,2016,R,782837347,Tim Miller
