rank,movie_name,release_date,audience_rating
1,The Shawshank Redemption,1994,R
2,The Godfather,1972,R
3,The Dark Knight,2008,PG-13
4,The Lord of the Rings: The Return of the King,2003,PG-13
5,12 Angry Men,1957,Approved
6,Schindler's List,1993,R
7,The Godfather Part II,1974,R
8,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13
9,Pulp Fiction,1994,R
10,Inception,2010,PG-13
11,Fight Club,1999,R
12,Forrest Gump,1994,PG-13
13,The Lord of the Rings: The Two Towers,2002,PG-13
14,"The Good, the Bad and the Ugly",1966,R
15,12th Fail,2023,Not Rated
16,Interstellar,2014,PG-13
17,The Matrix,1999,R
18,Goodfellas,1990,R
19,One Flew Over the Cuckoo's Nest,1975,R
20,Star Wars: Episode V - The Empire Strikes Back,1980,PG
21,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,Not Rated
22,Jai Bhim,2021,Approved
23,Soorarai Pottru,2020,Not Rated
24,777 Charlie,2022,Not Rated
25,Rocketry: The Nambi Effect,2022,Not Rated
26,It's a Wonderful Life,1946,PG
27,Se7en,1995,R
28,The Silence of the Lambs,1991,R
29,The Green Mile,1999,R
30,Spider-Man: Across the Spider-Verse,2023,PG
31,Star Wars: Episode IV - A New Hope,1977,PG
32,Saving Private Ryan,1998,R
33,City of God,2002,R
34,Terminator 2: Judgment Day,1991,R
35,Spirited Away,2001,PG
36,Life Is Beautiful,1997,PG-13
37,Seven Samurai,1954,Not Rated
38,Harakiri,1962,Not Rated
39,Gladiator,2000,R
40,Dune: Part Two,2024,PG-13
41,Alien,1979,R
42,Parasite,2019,R
43,The Lion King,1994,G
44,The Departed,2006,R
45,Whiplash,2014,R
46,The Prestige,2006,PG-13
47,Back to the Future,1985,PG
48,Léon: The Professional,1994,R
49,Django Unchained,2012,R
50,The Usual Suspects,1995,R
51,Maharaja,2024,Not Rated
52,American History X,1998,R
53,The Pianist,2002,R
54,Casablanca,1942,PG
55,Psycho,1960,R
56,Grave of the Fireflies,1988,Not Rated
57,The Intouchables,2011,R
58,Once Upon a Time in the West,1968,PG-13
59,Cinema Paradiso,1988,PG
60,Rear Window,1954,PG
61,Sita Ramam,2022,Not Rated
62,City Lights,1931,G
63,Modern Times,1936,G
64,96,2018,Not Rated
65,Inglourious Basterds,2009,R
66,Raiders of the Lost Ark,1981,PG
67,Avengers: Endgame,2019,PG-13
68,Joker,2019,R
69,The Dark Knight Rises,2012,PG-13
70,The Shining,1980,R
71,Memento,2000,R
72,Apocalypse Now,1979,R
73,Avengers: Infinity War,2018,PG-13
74,Aliens,1986,R
75,Spider-Man: Into the Spider-Verse,2018,PG
76,Amadeus,1984,PG
77,WALL·E,2008,G
78,Coco,2017,PG
79,The Lives of Others,2006,R
80,Das Boot,1981,Not Rated
81,Your Name.,2016,Not Rated
82,Sunset Boulevard,1950,Approved
83,Lost Ladies,2023,TV-14
84,Capernaum,2018,R
85,3 Idiots,2009,PG-13
86,Paths of Glory,1957,Approved
87,Witness for the Prosecution,1957,Approved
88,High and Low,1963,Not Rated
89,The Great Dictator,1940,G
90,Kaithi,2019,Not Rated
91,Asuran,2019,Not Rated
92,Drishyam 2,2021,Not Rated
93,The Wild Robot,2024,PG
94,Oppenheimer,2023,R
95,Eternal Sunshine of the Spotless Mind,2004,R
96,Requiem for a Dream,2000,NC-17
97,Good Will Hunting,1997,R
98,American Beauty,1999,R
99,Incendies,2010,R
100,Braveheart,1995,R
101,Heat,1995,R
102,Oldboy,2003,R
103,Scarface,1983,R
104,The Hunt,2012,R
105,Once Upon a Time in America,1984,R
106,2001: A Space Odyssey,1968,G
107,Come and See,1985,Not Rated
108,Reservoir Dogs,1992,R
109,Toy Story,1995,G
110,To Kill a Mockingbird,1962,Approved
111,Hamilton,2020,PG-13
112,Star Wars: Episode VI - Return of the Jedi,1983,PG
113,Amélie,2001,R
114,Citizen Kane,1941,PG
115,Lawrence of Arabia,1962,PG
116,Up,2009,PG
117,Princess Mononoke,1997,PG-13
118,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG
119,Toy Story 3,2010,G
120,North by Northwest,1959,Approved
121,Metropolis,1927,Not Rated
122,The Apartment,1960,Approved
123,Vertigo,1958,PG
124,Singin' in the Rain,1952,G
125,M,1931,Passed
126,The Sting,1973,PG
127,Ikiru,1952,Not Rated
128,A Separation,2011,PG-13
129,Judgment at Nuremberg,1961,Approved
130,Double Indemnity,1944,Approved
131,Bicycle Thieves,1948,Not Rated
132,Like Stars on Earth,2007,PG
133,Dangal,2016,Not Rated
134,Vikram,2022,Not Rated
135,Shershaah,2021,TV-14
136,Chhichhore,2019,Not Rated
137,Raatchasan,2018,Not Rated
138,Sardar Udham,2021,TV-MA
139,Drishyam,2013,Not Rated
140,Die Hard,1988,R
141,Klaus,2019,PG
142,The Wolf of Wall Street,2013,R
143,No Country for Old Men,2007,R
144,Prisoners,2013,R
145,Spider-Man: No Way Home,2021,PG-13
146,Top Gun: Maverick,2022,PG-13
147,Jurassic Park,1993,PG-13
148,The Thing,1982,R
149,The Truman Show,1998,PG
150,Taxi Driver,1976,R
151,Batman Begins,2005,PG-13
152,Indiana Jones and the Last Crusade,1989,PG-13
153,Shutter Island,2010,R
154,There Will Be Blood,2007,R
155,L.A. Confidential,1997,R
156,The Sixth Sense,1999,PG-13
157,1917,2019,R
158,Green Book,2018,PG-13
159,A Clockwork Orange,1971,R
160,Snatch,2000,R
161,Howl's Moving Castle,2004,PG
162,Unforgiven,1992,R
163,A Beautiful Mind,2001,PG-13
164,Full Metal Jacket,1987,R
165,Kill Bill: Vol. 1,2003,R
166,Casino,1995,R
167,Finding Nemo,2003,G
168,Pan's Labyrinth,2006,R
169,Gone with the Wind,1939,G
170,Downfall,2004,R
171,The Father,2020,PG-13
172,The Elephant Man,1980,PG
173,Some Like It Hot,1959,Approved
174,The Secret in Their Eyes,2009,R
175,Monty Python and the Holy Grail,1975,PG
176,Tumbbad,2018,Not Rated
177,K.G.F: Chapter 2,2022,Not Rated
178,The Great Escape,1963,Approved
179,For a Few Dollars More,1965,R
180,Ran,1985,R
181,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,TV-MA
182,Rangasthalam,2018,Not Rated
183,Rashomon,1950,Not Rated
184,Dial M for Murder,1954,PG
185,All About Eve,1950,Approved
186,K.G.F: Chapter 1,2018,Not Rated
187,Miracle in Cell No. 7,2019,TV-14
188,Drishyam 2,2022,Not Rated
189,Baahubali 2: The Conclusion,2017,Not Rated
190,Yojimbo,1961,Not Rated
191,Drishyam,2015,Not Rated
192,The Treasure of the Sierra Madre,1948,Approved
193,Children of Heaven,1997,PG
194,The Kid,1921,Passed
195,Swades,2004,Not Rated
196,Ayla: The Daughter of War,2017,Not Rated
197,A Man Escaped,1956,Not Rated
198,Kantara,2022,Not Rated
199,Dersu Uzala,1975,G
200,Pather Panchali,1955,Not Rated
201,Gangs of Wasseypur,2012,Not Rated
202,My Father and My Son,2005,Not Rated
203,Andhadhun,2018,Not Rated
204,Bhaag Milkha Bhaag,2013,Not Rated
205,Zindagi Na Milegi Dobara,2011,Not Rated
206,Sherlock Jr.,1924,Passed
207,Uri: The Surgical Strike,2019,Not Rated
208,Umberto D.,1952,Not Rated
209,Vikram Vedha,2017,Not Rated
210,Hera Pheri,2000,Not Rated
211,Paan Singh Tomar,2012,Not Rated
212,Anora,2024,R
213,The Wizard of Oz,1939,G
214,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13
215,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13
216,Mad Max: Fury Road,2015,R
217,The Big Lebowski,1998,R
218,Catch Me If You Can,2002,PG-13
219,Dead Poets Society,1989,PG
220,Blade Runner,1982,R
221,The Terminator,1984,R
222,A Christmas Carol,1951,Approved
223,The Help,2011,PG-13
224,The Handmaiden,2016,Not Rated
225,Gone Girl,2014,R
226,The Sound of Music,1965,G
227,The Grand Budapest Hotel,2014,R
228,Inside Out,2015,PG
229,How to Train Your Dragon,2010,PG
230,Trainspotting,1996,R
231,Stand by Me,1986,R
232,Ben-Hur,1959,G
233,Hacksaw Ridge,2016,R
234,V for Vendetta,2005,R
235,Memories of Murder,2003,Not Rated
236,Jaws,1975,PG
237,The Deer Hunter,1978,R
238,Fargo,1996,R
239,Rush,2013,R
240,Ratatouille,2007,G
241,Logan,2017,R
242,The Exorcist,1973,R
243,Ford v Ferrari,2019,PG-13
244,Into the Wild,2007,R
245,"Paris, Texas",1984,R
246,Warrior,2011,PG-13
247,"Three Billboards Outside Ebbing, Missouri",2017,R
248,Million Dollar Baby,2004,PG-13
249,Rocky,1976,PG
250,Platoon,1986,R
251,My Neighbor Totoro,1988,G
252,12 Years a Slave,2013,R
253,"Monsters, Inc.",2001,G
254,"Lock, Stock and Two Smoking Barrels",1998,R
255,Before Sunrise,1995,R
256,Barry Lyndon,1975,PG
257,Chinatown,1974,R
258,Hachi: A Dog's Tale,2009,G
259,Portrait of a Lady on Fire,2019,R
260,A Silent Voice: The Movie,2016,Not Rated
261,Spotlight,2015,R
262,In the Mood for Love,2000,PG
263,Raging Bull,1980,R
264,Gran Torino,2008,R
265,Room,2015,R
266,La haine,1995,Not Rated
267,Wild Tales,2014,R
268,The Man Who Shot Liberty Valance,1962,Approved
269,Mary and Max,2009,Not Rated
270,The Iron Giant,1999,PG
271,The Seventh Seal,1957,Not Rated
272,The Bridge on the River Kwai,1957,PG
273,The Third Man,1949,Approved
274,Fanny and Alexander,1982,R
275,Before Sunset,2004,R
276,In the Name of the Father,1993,R
277,Network,1976,R
278,On the Waterfront,1954,Approved
279,Paper Moon,1973,PG
